Gene Name,Upregulated,Downregulated,Max
RTF2,0.5457662343978882,0.5501312613487244,0.5501312613487244
TRANK1,0.5501207709312439,0.5476014614105225,0.5501207709312439
GGCT,0.5410547256469727,0.5501196384429932,0.5501196384429932
GNAI2,0.5410696268081665,0.5500926971435547,0.5500926971435547
ZC3H7A,0.5497401356697083,0.5500892996788025,0.5500892996788025
CALM3,0.5403183698654175,0.5500824451446533,0.5500824451446533
FBXL12,0.5410547256469727,0.5500815510749817,0.5500815510749817
UBE2D3,0.5410547256469727,0.5500795245170593,0.5500795245170593
CHD8,0.5410547256469727,0.5500769019126892,0.5500769019126892
SMNDC1,0.5500768423080444,0.5410547256469727,0.5500768423080444
RHOT2,0.5500467419624329,0.5461339950561523,0.5500467419624329
TMED9,0.5500422716140747,0.5455376505851746,0.5500422716140747
ARL8B,0.545239269733429,0.5500291585922241,0.5500291585922241
FXN,0.5500261783599854,0.5410547256469727,0.5500261783599854
TIPRL,0.5500178933143616,0.5410547256469727,0.5500178933143616
NDRG3,0.5410547256469727,0.5500155687332153,0.5500155687332153
HACD2,0.5416247844696045,0.5500136613845825,0.5500136613845825
PLOD3,0.5419369339942932,0.550000786781311,0.550000786781311
MGST2,0.545307993888855,0.5499820709228516,0.5499820709228516
VASP,0.5499811172485352,0.5231902599334717,0.5499811172485352
POLDIP2,0.5416987538337708,0.5499808192253113,0.5499808192253113
STX17,0.5410547256469727,0.5499787330627441,0.5499787330627441
BAZ2B,0.5499775409698486,0.5439817309379578,0.5499775409698486
UNC45A,0.5499750375747681,0.54593825340271,0.5499750375747681
ELOC,0.5487117171287537,0.5499641299247742,0.5499641299247742
RIC8A,0.5499638319015503,0.5410547256469727,0.5499638319015503
MRPS34,0.5499635934829712,0.5410547256469727,0.5499635934829712
TCF7L2,0.5434531569480896,0.5499579310417175,0.5499579310417175
EZR,0.5499479174613953,0.5479426980018616,0.5499479174613953
MAPK13,0.5499452352523804,0.5410547256469727,0.5499452352523804
APBA2,0.543661892414093,0.5499429106712341,0.5499429106712341
DCTN1,0.5410547256469727,0.5499293208122253,0.5499293208122253
CD9,0.5410547256469727,0.5499234795570374,0.5499234795570374
SLC31A1,0.5499066114425659,0.548163115978241,0.5499066114425659
STMN1,0.5470290780067444,0.5499064326286316,0.5499064326286316
UBXN4,0.5499058961868286,0.5410547256469727,0.5499058961868286
BCKDHA,0.5410547256469727,0.5499058365821838,0.5499058365821838
MYNN,0.5498920679092407,0.5430617928504944,0.5498920679092407
RAB4A,0.5498896837234497,0.5429332256317139,0.5498896837234497
POU2F2,0.5498874187469482,0.5120565295219421,0.5498874187469482
RBBP4,0.5482029914855957,0.5498807430267334,0.5498807430267334
SEL1L,0.5479294657707214,0.5498802661895752,0.5498802661895752
SERINC5,0.5498802065849304,0.5410547256469727,0.5498802065849304
